price,installment,title,location,bedroom,bathroom,garage,land_area,building_area
Rp 51 Miliar,Rp 262 Jutaan (Tenor 20 Tahun),Rumah baru american classic 3lantai dengan kolam renang mega kuningan,Jakarta Selatan,4,4,2,540 m²,1100 m²
"Rp 1,89 Miliar",Rp 9 Jutaan (Tenor 20 Tahun),Rumah Baru 3.5 Lantai Taman Ratu Blok D Jakarta Barat,Jakarta Barat,4,3,1,48 m²,130 m²
"Rp 6,5 Juta /m²",Rp 40 Ribuan (Tenor 20 Tahun),"Tanah Ungasan 2,06 Ha Full View Laut 180derajat Dan Patung Garuda Wisnu Kencana, Kuta Selatan, Bali",Badung,,,,20600 m²,
"Rp 35,6 Miliar",Rp 183 Jutaan (Tenor 20 Tahun),Rumah Siap Huni Lingkungan Tenang Area Mega Kuningan,Jakarta Selatan,5,3,2,509 m²,650 m²
Rp 75 Miliar,Rp 385 Jutaan (Tenor 20 Tahun),Rumah Mewah Siap Huni Lingkungan Tenang Area Permata Hijau,Jakarta Selatan,5,5,2,1380 m²,1000 m²
Rp 700 Juta,Rp 3 Jutaan (Tenor 20 Tahun),Jual Cepat 700jt Nego Rumah Siap Huni,Bekasi,2,2,1,94 m²,55 m²
Rp 515 Juta /are,Rp 2 Jutaan (Tenor 20 Tahun),"Tanah Ready To Build 5.500 m² SHM Kampial Benoa, Nusa Dua Bali",Badung,,,,5500 m²,
"Rp 3,5 Juta /m²",Rp 20 Ribuan (Tenor 20 Tahun),Dijual Kavling Hook Strategis Di Cirendeu,Jakarta Selatan,,,,2630 m²,
"Rp 3,2 Miliar",Rp 16 Jutaan (Tenor 20 Tahun),Rumah Baru Modern Minimalis 3lantai Lokasi Strategis Dilebak Bulus,Jakarta Selatan,3,3,2,72 m²,148 m²
Rp 456 Juta,Rp 2 Jutaan (Tenor 20 Tahun),Rumah Di Cluster Taman Kayangan Cangkiran Semarang Hanya Perlu 5 Juta All In Sampai Serah Terima Kunci,Semarang,2,1,1,72 m²,36 m²
Rp 28 Miliar,Rp 144 Jutaan (Tenor 20 Tahun),Rumah Lama 1lantai Pinngir Jalan Besar Pakubuwono Keb Baru,Jakarta Selatan,8,3,2,379 m²,400 m²
"Rp 2,67 Miliar",Rp 13 Jutaan (Tenor 20 Tahun),Dijual Rumah Bagus Strategis Di Graha Bintaro,Jakarta Selatan,2,1,,160 m²,90 m²
Rp 22 Miliar,Rp 113 Jutaan (Tenor 20 Tahun),Jual Rumah Strategis Daerah Ciumbuleuit Bandung,Bandung,3,2,8,1000 m²,350 m²
"Rp 1,5 Miliar",Rp 7 Jutaan (Tenor 20 Tahun),Turun Harga 1.6 M --> 1.5m Townhouse Area Jagakarsa,Jakarta Selatan,2,2,1,70 m²,150 m²
"Rp 1,25 Miliar",Rp 6 Jutaan (Tenor 20 Tahun),Dijual Rumah Bagus Strategis Harga Menarik Di Cipadu,Tangerang,2,1,,90 m²,60 m²
